  time              x              y              z             vx             vy             vz
     4    -0.43926564      1.0660817              0     -4.8135261     -2.6143355              0
  4.05    -0.66580121      0.9010459              0     -4.0634198     -3.9331143              0
   4.1    -0.84560762      0.6727703              0     -2.9346932     -5.0917535              0
  4.15    -0.95927052     0.39187054              0      -1.422358     -5.9655954              0
   4.2    -0.98784342    0.076210764              0     0.43098036     -6.3905323              0
  4.25    -0.91617249    -0.24718269              0      2.4916295     -6.1823646              0
   4.3    -0.73868047    -0.54202569              0      4.4977595     -5.2013001              0
  4.35    -0.46639654     -0.7673127              0      6.0814699     -3.4597403              0
   4.4    -0.13053348    -0.88799973              0      6.8954402     -1.2016152              0
  4.45     0.22314748    -0.88747422              0      6.7862183      1.1535252              0
   4.5     0.54808835     -0.7726472              0      5.8624873      3.1935829              0
  4.55     0.80939621    -0.56811592              0      4.4000547      4.6704677              0
   4.6     0.98809382    -0.30560043              0      2.6925134      5.5229237              0
  4.65      1.0786476   -0.015823559              0     0.96306574      5.8079776              0
   4.7      1.0844004     0.27519733              0    -0.64923819      5.6264563              0
  4.75      1.0137237     0.54682207              0     -2.0682971      5.0793025              0
   4.8     0.87757069     0.78312758              0     -3.2553545      4.2511015              0
  4.85     0.68818828     0.97193222              0     -4.1897863      3.2081507              0
   4.9     0.45859206      1.1039426              0     -4.8568842      2.0023862              0
  4.95     0.20249987      1.1721708              0      -5.240583     0.67724183              0
     5   -0.065466245      1.1716668              0     -5.3193393    -0.72566465              0
  5.05    -0.32943407      1.0996044              0     -5.0643929     -2.1587671              0
   5.1    -0.57190553     0.95579012              0     -4.4409493     -3.5589524              0
  5.15      -0.773529     0.74370914              0     -3.4145831     -4.8356859              0
   5.2    -0.91336385     0.47222153              0     -1.9674357     -5.8584917              0
  5.25    -0.97027256     0.15785997              0     -0.1300996     -6.4512413              0
   5.3    -0.92637381    -0.17290261              0      1.9704711     -6.4113432              0
  5.35    -0.77322546    -0.48327435              0       4.069588     -5.5782857              0
   5.4    -0.51941501    -0.73073118              0      5.7876267     -3.9482893              0
  5.45    -0.19446279    -0.87810328              0      6.7628653     -1.7561499              0
   5.5     0.15687152    -0.90634617              0      6.8277413     0.58457304              0
  5.55     0.48831134    -0.81964597              0      6.0738602      2.6654816              0
   5.6     0.76425755      -0.639798              0      4.7571383      4.2346882              0
  5.65     0.96402517    -0.39617716              0      3.1549973      5.2177705              0
   5.7      1.0797573    -0.11802095              0      1.4830492      5.6540199              0
  5.75      1.1123301     0.16922483              0    -0.11931645      5.6276538              0
   5.8      1.0678256     0.44474443              0     -1.5710029      5.2267946              0
  5.85      0.9552298     0.69190429              0     -2.8264632      4.5270342              0
   5.9     0.78517931     0.89744785              0      -3.858052       3.588479              0
  5.95      0.5694246      1.0507522              0     -4.6443213      2.4585682              0
     6     0.32074718      1.1433047              0     -5.1626185      1.1771085              0
