  time              x              y              z             vx             vy             vz
     4     0.53030342    -0.87432911              0      4.7614859      3.9918549              0
  4.05     0.76837771    -0.67473637              0      3.3430471      5.2374301              0
   4.1     0.93553007    -0.41286487              0      1.6160431      5.9995855              0
  4.15      1.0163322    -0.11288559              0    -0.26012192       6.207974              0
   4.2      1.0033261     0.19751311              0     -2.1122763       5.843362              0
  4.25     0.89771231     0.48968121              0     -3.7694651       4.939404              0
   4.3     0.70923905     0.73665141              0     -5.0787292      3.5795364              0
  4.35     0.45530259     0.91562823              0     -5.9192231       1.889276              0
   4.4     0.15934144       1.010092              0     -6.2133692    0.024634735              0
  4.45    -0.15132702      1.0113238              0     -5.9340178     -1.8422801              0
   4.5    -0.44802791     0.91920976              0     -5.1069534     -3.5391513              0
  4.55    -0.70337558     0.74225219              0     -3.8085144      -4.909357              0
   4.6     -0.8938013     0.49678434              0     -2.1585472     -5.8264265              0
  4.65     -1.0017287     0.20546302              0    -0.30934466     -6.2057135              0
   4.7     -1.0171959    -0.10482266              0      1.5684108     -6.0122097              0
  4.75    -0.93877535    -0.40543315              0      3.3014012     -5.2637753              0
   4.8     -0.7737053    -0.66862191              0      4.7296705     -4.0294912              0
  4.85    -0.53722177    -0.87009647              0      5.7213884     -2.4232825              0
   4.9    -0.25115235     -0.9912606              0      6.1850187    -0.59340326              0
  4.95    0.058098587     -1.0209308              0       6.077768      1.2912475              0
     5     0.36198699    -0.95636838              0      5.4095356      3.0567154              0
  5.05     0.63246377    -0.80353261              0      4.2419996      4.5400466              0
   5.1     0.84456375    -0.57653028              0      2.6829245      5.6043286              0
  5.15     0.97870997    -0.29631385              0      0.8762138      6.1513277              0
   5.2      1.0225207    0.011252533              0     -1.0113719      6.1305553              0
  5.25     0.97195207      0.3177803              0     -2.8056073       5.543929              0
   5.3      0.8316717     0.59497675              0     -4.3408834      4.4455947              0
  5.35     0.61462753     0.81725648              0     -5.4754933      2.9369293              0
   5.4     0.34085286     0.96410295              0     -6.1047118      1.1571835              0
  5.45    0.035617272      1.0219621              0     -6.1704618    -0.72937095              0
   5.5    -0.27290582     0.98549358              0     -5.6666743      -2.548604              0
  5.55    -0.55623953     0.85806338              0     -4.6398494     -4.1325994              0
   5.6      -0.788232      0.6514334              0     -3.1847636     -5.3351534              0
  5.65    -0.94747018     0.38467574              0     -1.4357221     -6.0452694              0
   5.7     -1.0192563    0.082412265              0     0.44583732     -6.1974035              0
  5.75    -0.99696442    -0.22745791              0      2.2862457     -5.7775134              0
   5.8    -0.88265214    -0.51633358              0      3.9156323     -4.8243554              0
  5.85    -0.68687052    -0.75755135              0      5.1836036     -3.4259064              0
   5.9    -0.42769034    -0.92884667              0      5.9731252     -1.7112441              0
  5.95    -0.12903408     -1.0144089              0      6.2113237     0.16136699              0
     6     0.18153211     -1.0063405              0      5.8762132      2.0190838              0
  6.05     0.47534277    -0.90538633              0      4.9987247       3.690438              0
   6.1       0.725279    -0.72086443              0      3.6598508      5.0211625              0
  6.15     0.90827154     -0.4698063              0      1.9831705      5.8884307              0
   6.2      1.0074301    -0.17538477              0     0.12344235      6.2121931              0
  6.25      1.0136022     0.13522489              0     -1.7476796      5.9625663              0
   6.3      0.9262182      0.4333532              0     -3.4574897       5.162591              0
  6.35     0.75334372     0.69148275              0     -4.8481713      3.8861055              0
   6.4     0.51093515     0.88578803              0     -5.7913638        2.25093              0
  6.45     0.22136696     0.99833453              0     -6.2000099     0.40799233              0
   6.5   -0.088633537      1.0187341              0     -6.0363913     -1.4726033              0
  6.55     -0.3904531     0.94510398              0     -5.3156102     -3.2172767              0
   6.6    -0.65623361     0.78424014              0     -4.1041949     -4.6649935              0
  6.65    -0.86144336     0.55099046              0       -2.51396     -5.6821286              0
